артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;1;500;50;
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;1;340;46;
L9111WH;Стойка;1156 мм;430;Белый;5;2150;47;
L9240WH;Кронштейн для полки ;406 мм;201;белый;4;804;23;
L9230WH;Кронштейн для полки ;306 мм;132;белый;2;264;32;
L9964WH;Сеточная полка;603x406 мм;550;белая;2;1100;24;
L9963WH;Сеточная полка;603x306 мм;480;белая;1;480;42;
L9701WH;Кронштейн для перекладины;25 мм;32;белый;4;128;38;
L62R25CH64;Перекладина;640 мм;130;хром;2;260;84;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;2;198;36;
L6175WH;Декоративная заглушка;321x17x8 мм;105;белая;1;105;109;
;;;;;;6329;
