артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;1;500;50;
L9120WH;Стойка;1955 мм;560;Белый;3;1680;49;
L9230WH;Кронштейн для полки ;306 мм;132;белый;2;264;32;
L9240WH;Кронштейн для полки ;406 мм;201;белый;2;402;23;
L99123WH;Сеточная полка ;1203x306 мм;880;белая;1;880;43;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;2;3100;55;
L9530WH(N);Сет. корзина;555x410x185 мм;700;белая;2;1400;60;
L9442WH;Полка для обуви;603x404 мм;700;белая;2;1400;88;
L6175WH;Декоративная заглушка;321x17x8 мм;105;белая;1;105;109;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;2;230;108;
;;;;;;9961;
