id;;;;;;;;;;;;;;;
colorNew;ГС;;;;m_8;;;;m_7;;;;m_38;;
19;ЛДСП полка;565x435x16 мм;43985;0.39;LWWHWS(N);605;белая;;LWOWWS(N);605;дуб венге;;LWOKWS(N);Нет в наличии;дуб
20;Сеточная корзина;410x555x85 мм;0.75;33970;L9529WH(N);690;белая;;L9529GA(N);690;серая;;L9529BL(N);770;черная
21;Рама. 7 уровней;565x435x750 мм;34394;18.43;LWS7FWH(N);2500;белая;;LWS7FGA(N);2500;серая;;LWS7FBL(N);Нет в наличии;черная
22;Сеточная корзина;410x555x185 мм;0.95;44287;L9530WH(N);935;белая;;L9530GA(N);935;серая;;L9530BL(N);1034;черная
23;Кронштейн для полки ;406 мм;0.42;0.04;L9240WH;245;белый;;L9240GA;245;серый;;L9240BL;269;черный
24;Сеточная полка;603x406 мм;43862;0.37;L9964WH;660;белая;;L9964GA;660;серая;;L9964BL;726;черная
25;Рама. 5 уровней;565x435x550 мм;20090;13.52;LWS5FWH(N);2200;белая;;LWS5FGA(N);2200;серая;;LWS5FBL(N);Нет в наличии;черная
30;Сеточная полка  ;903x306 мм;43922;0.41;L9993WH;795;белая;;L9993GA;795;серая;;L9993BL;Нет в наличии;черная
31;Корзина на трении;590x424x180 мм;42370;43955;L9540WH;970;белая;;L9540GA;970;серая;;L9540BL;Нет в наличии;черная
32;Кронштейн для полки11;306 мм;0.26;0.02;L9230WH;11165;белый;;L9230GA;165;серый;;L9230BL;Нет в наличии;черный
33;Двусторонний кронштейн;603x406 мм;0.78;0.11;L9350WH;725;белый;;L9350GA;725;серый;;L9350BL;Нет в наличии;черный
34;Кронштейны для корзин;603x406 мм;14246;0.08;L9340WH;1035;белые;;L9340GA;1035;серые;;L9340BL;Нет в наличии;черные
35;Сеточная полка;1203x406 мм;14277;0.73;L99124WH;1210;белая;;L99124GA;1210;серая;;L99124BL;1331;черная
36;Торцевые заглушки;2 штуки в комплекте;0.02;;L9702CH;131;хром;;L9702CH;131;хром;;L9702CH;131;хром
38;Крон. для перекладины;25 мм;0.05;0.01;L9701WH;44;белый;;L9701GA;44;серый;;L9701BL;49;черный
39;Перфопанель;585x155 мм;43101;;L99G64WH;630;белая;;L99G64GA;630;серая;;L99G64BL;693;черная
