id;Описание;Размер;запас;запас;Артикул белого;Цена белого;из текст;запас;Артикул серого;Цена серого;из текст;запас;Артикул серого;Цена черного;из текст;запас;;;
;;;;;m_8;;;;m_7;;;;m_38;;;;;;
19;ЛДСП полка;565x435x16 мм;;;LWWHWS(N);158;белая;;LWOWWS(N);Нет в наличии;дуб венге;;LWOWWS(N);Нет в наличии;дуб;;;;
20;Сеточная корзина;410x555x85 мм;;;L9529WH(N);272;белая;;L9529GA(N);272;серая;;L9529BL(N);313;черная;;;;
21;Рама. 7 уровней;565x435x750 мм;;;LWS7FWH(N);976;белая;;LWS7FGA(N);Нет в наличии;серая;;LWS7FBL(N);Нет в наличии;черная;;;;
22;Сеточная корзина;410x555x185 мм;;;L9530WH(N);326;белая;;L9530GA(N);326;серая;;L9530BL(N);375;черная;;;;
23;Кронштейн для полки ;406 мм;;;L9240WH;136;белый;;L9240GA;136;серый;;L9240BL;157;черный;;;;
24;Сеточная полка;603x406 мм;;;L9964WH;398;белая;;L9964GA;398;серая;;L9964BL;458;черная;;;;
25;Рама. 5 уровней;565x435x550 мм;;;LWS5FWH(N);816;белая;;LWS5FGA(N);Нет в наличии;серая;;LWS5FBL(N);Нет в наличии;черная;;;;
30;Сеточная полка  ;903x306 мм;;;L9993WH;454;белая;;L9993GA;454;серая;;L9993BL;523;черная;;;;
31;Корзина на трении;590x424x180 мм;;;L9540WH;395;белая;;L9540GA;409;серая;;L9540BL;455;черная;;;;
32;Кронштейн для полки;306 мм;;;L9230WH;86;белый;;L9230GA;86;серый;;L9230BL;99;черный;;;;
33;Двусторонний кронштейн;603x406 мм;;;L9350WH;371;белый;;L9350GA;Нет в наличии;серый;;L9350BL;Нет в наличии;черный;;;;
34;Кронштейны для корзин;603x406 мм;;;L9340WH;544;белые;;L9340GA;561;серые;;L9340BL;626;черные;;;;
35;Сеточная полка;1203x406 мм;;;L99124WH;648;белая;;L99124GA;624;серая;;L99124BL;746;черная;;;;
36;Торцевые заглушки;2 штуки в комплекте;;;L9702CH;40;хром;;L9702CH;40;хром;;L9702CH;40;хром;;;;
38;Крон. для перекладины;25 мм;;;L9701WH;14;белый;;L9701GA;14;серый;;L9701BL;17;черный;;;;
39;Перфопанель;585x155 мм;;;L99G64WH;153;белая;;L99G64GA;153;серая;;L99G64BL;176;черная;;;;
40;Кронштейн для ЛДСП;130 мм;;;L9096WH;155;белый;;L9096GA;155;серый;;L9096BL;179;черный;;;;
41;ЛДСП полка;585x406x16 мм;;;LWWH406;160;белая;;LWOW406;Нет в наличии;дуб венге;;LWOK406;Нет в наличии;дуб;;;;
42;Сеточная полка;603x306 мм;;;L9963WH;337;белая;;L9963GA;348;серая;;L9963BL;388;черная;;;;
43;Сеточная полка ;1203x306 мм;;;L99123WH;532;белая;;L99123GA;532;серая;;L99123BL;612;черная;;;;
44;Сеточная полка ;903x406 мм;;;L9994WH;544;белая;;L9994GA;563;серая;;L9994BL;626;черная;;;;
46;Рельс для крепления стойки ;1000 мм;;;L9810WH;220;белый;;L9810GA;228;серый;;L9810BL;253;черный;;;;
47;Стойка;1156 мм;;;L9112WH;256;белая;;L9112GA;266;серая;;L9111BL;295;черная;;;;
48;стойка;1506 мм;;;L9115WH;336;белая;;L9115GA;348;серая;;L9115BL;387;черная;;;;
49;Стойка;1955 мм;;;L9120WH;387;белая;;L9120GA;401;серая;;L9120BL;446;черная;;;;
50;Рельс для крепления стойки ;1560 мм;;;L9821WH;338;белый;;L9821GA;338;серый;;L9821BL;389;черный;;;;
51;Полка-корзина;604x406x118 мм;;;L9549WH;334;белая;;L9549GA;334;серая;;L9549BL;385;черная;;;;
52;Полка-корзина;904x406x118 мм;;;L9550WH;422;белая;;L9550GA;Нет в наличии;серая;;L9550BL;Нет в наличии;черная;;;;
53;Метал. полка;595x420 мм;;;L99S64WH;340;белая;;L99S64GA;Нет в наличии;серая;;L99S64BL;Нет в наличии;черная;;;;
54;Брючница;597x425 мм;;;L9602WH;981;белая;;L9602GA;Нет в наличии;серая;;L9602BL;Нет в наличии;черная;;;;
55;Выдвижная рама;597x425 мм;;;L9601WH;980;белая;;L9601GA;980;серая;;L9601BL;1127;черная;;;;
56;Полка для обуви;603x306x80 мм;;;L9438WH;Нет в наличии;белая;;L9438WH;Нет в наличии;серая;;L9438BL;Нет в наличии;черная;;;;
57;Полка-корзина;604x306x118 мм;;;L9547WH;Нет в наличии;белая;;L9547GA;Нет в наличии;серая;;L9547BL;Нет в наличии;черная;;;;
58;Перфопанель;890x155 мм;;;L99G94WH;200;белая;;L99G94GA;200;серая;;L99G94BL;230;черная;;;;
59;Сет. корзина;555x410x85 мм;;;L9529WH(N);272;белая;;L9529GA(N);272;серая;;L9529BL(N);313;черная;;;;
60;Сет. корзина;555x410x185 мм;;;L9530WH(N);326;белая;;L9530GA(N);326;серая;;L9530BL(N);375;черная;;;;
61;Метал. полка;595x320 мм;;;L99S63WH;294;белая;;L99S63GA;Нет в наличии;серая;;L99S63BL;Нет в наличии;черная;;;;
64;ЛДСП полка;585x306x16 мм;;;LWWH306;124;белая;;LWOW306;Нет в наличии;дуб венге;;LWOW306;Нет в наличии;дуб;;;;
65;Разделитель;114х10х403 мм;;;L9715;98;белый;;L9715;98;белый;;L9715;98;белый;;;;
66;Крючок. 3 шт;110x40x68 мм;;;LWHK005;48;стальные;;LWHK005;48;стальные;;LWHK005;48;стальные;;;;
67;Крючок. 5 шт;40x50x4 мм;;;LWHK004;26;стальные;;LWHK004;26;стальные;;LWHK004;26;стальные;;;;
68;Крючок. 5 шт;37х8х14 мм;;;LWHK003;118;стальные;;LWHK003;118;стальные;;LWHK003;118;стальные;;;;
69;Крючок. 5 шт;125 мм;;;LWHK002;85;стальные;;LWHK002;85;стальные;;LWHK002;85;стальные;;;;
70;Крючок. 5 шт;125 мм;;;LWHK001;52;стальные;;LWHK001;52;стальные;;LWHK001;52;стальные;;;;
71;Крючок;199х49х43 мм;;;LWHK006;40;стальной;;LWHK006;40;стальной;;LWHK006;40;стальной;;;;
81;Перекладина;2000 мм;;;L62R25CH200;Нет в наличии;хром;;L62R25CH200;120;Нет в наличии;;L62R25CH200;Нет в наличии;хром;;;;
82;Перекладина;1240 мм;;;L62R25CH124;121;хром;;L62R25CH124;121;хром;;L62R25CH124;121;хром;;;;
83;Перекладина;940 мм;;;L62R25CH94;75;хром;;L62R25CH94;75;хром;;L62R25CH94;75;хром;;;;
84;Перекладина;640 мм;;;L62R25CH64;53;хром;;L62R25CH64;53;хром;;L62R25CH64;53;хром;;;;
86;Мелкосет. Корзина;555x410x185 мм;;;L9560WH(N);467;белая;;L9560GA(N);467;серая;;L9560BL(N);538;черная;;;;
87;Мелкосет. корзина;555x410x85 мм;;;L9559WH(N);362;белая;;L9559GA(N);362;серая;;L9559BL(N);417;черная;;;;
88;Полка для обуви;603x404 мм;;;L9442WH;397;белая;;L9442GA;412;серая;;L9442BL;457;черная;;;;
89;Полка для обуви;903x404 мм;;;L9443WH;Нет в наличии;белая;;L9443GA;Нет в наличии;серая;;L9443BL;Нет в наличии;черная;;;;
90;Выдвижная;410x555 мм;;;L9444WH;494;белая;;L9444GA;494;серая;;L9444BL;569;черная;;;;
93;Мелкосет. корзина;555x410x85 мм;;;L9559WH(N);362;белая;;L9559GA(N);362;серая;;L9559BL(N);417;черная;;;;
95;Корзина на трении;590x424x100 мм;;;L9539WH;325;белая;;L9539GA;337;серая;;L9539BL;374;черная;;;;
